overall,neg,neu,pos,compound
  4.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.133, 0.797, 0.069, -0.9962
  5.0, 0.021, 0.89, 0.089, 0.743
  1.0, 0.178, 0.724, 0.099, -0.3408
  4.0, 0.089, 0.722, 0.188, 0.4939
  5.0, 0.067, 0.753, 0.181, 0.8025
  1.0, 0.175, 0.698, 0.127, -0.1466
  3.0, 0.214, 0.625, 0.161, -0.5771
  5.0, 0.0, 0.887, 0.113, 0.6369
  5.0, 0.312, 0.64, 0.049, -0.9201
  4.0, 0.027, 0.836, 0.137, 0.791
  5.0, 0.066, 0.664, 0.269, 0.7082
  5.0, 0.0, 0.776, 0.224, 0.7772
  5.0, 0.109, 0.635, 0.256, 0.7003
  5.0, 0.19, 0.623, 0.187, 0.2263
  4.0, 0.021, 0.852, 0.127, 0.8264
  5.0, 0.026, 0.79, 0.184, 0.9501
  3.0, 0.068, 0.834, 0.097, 0.3062
  5.0, 0.05, 0.692, 0.258, 0.7871
  1.0, 0.074, 0.756, 0.169, 0.743
  3.0, 0.096, 0.735, 0.169, 0.9682
  5.0, 0.081, 0.783, 0.136, 0.906
  5.0, 0.088, 0.684, 0.228, 0.8798
  5.0, 0.025, 0.72, 0.255, 0.9696
  4.0, 0.0, 0.696, 0.304, 0.8231
  5.0, 0.0, 0.615, 0.385, 0.94
  3.0, 0.206, 0.696, 0.097, -0.9773
  4.0, 0.0, 0.752, 0.248, 0.6808
  3.0, 0.134, 0.74, 0.126, -0.6994
  3.0, 0.047, 0.886, 0.067, 0.1779
  2.0, 0.071, 0.834, 0.094, 0.1525
  3.0, 0.123, 0.817, 0.06, -0.9761
  5.0, 0.07, 0.734, 0.196, 0.7506
  3.0, 0.078, 0.888, 0.034, -0.7508
  4.0, 0.147, 0.726, 0.127, -0.4152
  5.0, 0.079, 0.921, 0.0, -0.3612
  5.0, 0.0, 0.773, 0.227, 0.6486
  5.0, 0.0, 0.795, 0.205, 0.7334
  3.0, 0.042, 0.712, 0.246, 0.9657
  4.0, 0.119, 0.745, 0.136, 0.8339
  5.0, 0.0, 0.836, 0.164, 0.8143
  5.0, 0.0, 0.733, 0.267, 0.9423
  5.0, 0.138, 0.64, 0.222, 0.1263
  5.0, 0.0, 0.514, 0.486, 0.9524
  5.0, 0.0, 0.667, 0.333, 0.875
  5.0, 0.093, 0.704, 0.203, 0.6853
  5.0, 0.061, 0.741, 0.198, 0.9386
  2.0, 0.12, 0.88, 0.0, -0.7177
  5.0, 0.043, 0.823, 0.134, 0.9801
  4.0, 0.031, 0.797, 0.172, 0.9423
  5.0, 0.03, 0.915, 0.055, 0.807
  5.0, 0.04, 0.799, 0.161, 0.9988
  4.0, 0.111, 0.768, 0.121, 0.1581
  3.0, 0.046, 0.788, 0.167, 0.904
  5.0, 0.0, 0.85, 0.15, 0.8176
  5.0, 0.0, 0.684, 0.316, 0.8795
  5.0, 0.011, 0.879, 0.111, 0.9817
  5.0, 0.042, 0.712, 0.246, 0.8625
  5.0, 0.129, 0.739, 0.132, -0.9713
  5.0, 0.0, 0.72, 0.28, 0.8195
  5.0, 0.077, 0.773, 0.15, 0.8807
  5.0, 0.0, 0.703, 0.297, 0.8271
  5.0, 0.025, 0.745, 0.23, 0.9905
  5.0, 0.064, 0.873, 0.064, 0.0
  5.0, 0.055, 0.793, 0.153, 0.9859
  5.0, 0.225, 0.402, 0.373, 0.7391
  5.0, 0.052, 0.817, 0.131, 0.7717
  4.0, 0.059, 0.769, 0.172, 0.9989
  5.0, 0.134, 0.772, 0.094, -0.9063
  4.0, 0.078, 0.821, 0.101, 0.9354
  3.0, 0.023, 0.893, 0.084, 0.4678
  5.0, 0.0, 0.734, 0.266, 0.9929
  5.0, 0.126, 0.703, 0.17, 0.683
  5.0, 0.0, 1.0, 0.0, 0.0
  4.0, 0.059, 0.72, 0.222, 0.8669
  3.0, 0.098, 0.593, 0.309, 0.7239
  5.0, 0.083, 0.694, 0.222, 0.7906
  5.0, 0.0, 0.511, 0.489, 0.8883
  5.0, 0.092, 0.637, 0.271, 0.8807
  2.0, 0.08, 0.847, 0.073, -0.6096
  5.0, 0.0, 0.862, 0.138, 0.4389
  4.0, 0.059, 0.723, 0.218, 0.6696
  5.0, 0.061, 0.835, 0.105, 0.7869
  3.0, 0.017, 0.799, 0.185, 0.9831
  5.0, 0.104, 0.749, 0.147, 0.6525
  5.0, 0.098, 0.72, 0.182, 0.962
  3.0, 0.056, 0.795, 0.149, 0.5574
  5.0, 0.0, 0.6, 0.4, 0.8402
  5.0, 0.079, 0.743, 0.177, 0.8592
  5.0, 0.045, 0.753, 0.202, 0.886
  5.0, 0.131, 0.672, 0.196, 0.9587
  2.0, 0.019, 0.736, 0.245, 0.9027
  3.0, 0.076, 0.924, 0.0, -0.1857
  5.0, 0.0, 0.843, 0.157, 0.9001
  4.0, 0.092, 0.78, 0.127, 0.9958
  4.0, 0.079, 0.84, 0.081, 0.024
  5.0, 0.064, 0.775, 0.161, 0.789
  4.0, 0.063, 0.803, 0.135, 0.8856
  5.0, 0.076, 0.718, 0.206, 0.9439
  4.0, 0.151, 0.63, 0.219, 0.5927
  5.0, 0.0, 0.766, 0.234, 0.7003
  5.0, 0.14, 0.673, 0.186, 0.0795
  5.0, 0.126, 0.755, 0.119, -0.0954
  5.0, 0.0, 0.695, 0.305, 0.9523
  5.0, 0.0, 0.49, 0.51, 0.9492
  5.0, 0.0, 0.695, 0.305, 0.9259
  4.0, 0.0, 0.505, 0.495, 0.9619
  5.0, 0.058, 0.676, 0.266, 0.8768
  5.0, 0.0, 0.904, 0.096, 0.8053
  4.0, 0.115, 0.761, 0.124, 0.3252
  5.0, 0.228, 0.483, 0.29, 0.2263
  5.0, 0.074, 0.786, 0.14, 0.4767
  5.0, 0.0, 0.721, 0.279, 0.9808
  5.0, 0.112, 0.888, 0.0, -0.6619
  5.0, 0.0, 0.834, 0.166, 0.9105
  5.0, 0.142, 0.688, 0.17, 0.1779
  5.0, 0.078, 0.848, 0.075, -0.2846
  5.0, 0.0, 0.622, 0.378, 0.8442
  4.0, 0.0, 0.522, 0.478, 0.9294
  5.0, 0.0, 0.595, 0.405, 0.872
  5.0, 0.0, 0.727, 0.273, 0.9223
  5.0, 0.0, 0.611, 0.389, 0.88
  5.0, 0.119, 0.45, 0.431, 0.8658
  4.0, 0.0, 0.821, 0.179, 0.7897
  5.0, 0.051, 0.85, 0.099, 0.296
  5.0, 0.244, 0.64, 0.116, -0.4939
  5.0, 0.11, 0.713, 0.177, 0.9863
  5.0, 0.0, 0.852, 0.148, 0.5106
  5.0, 0.0, 0.69, 0.31, 0.8957
  5.0, 0.0, 0.803, 0.197, 0.935
  5.0, 0.274, 0.67, 0.055, -0.9405
  5.0, 0.0, 0.599, 0.401, 0.8934
  5.0, 0.0, 0.903, 0.097, 0.2846
  5.0, 0.085, 0.764, 0.151, 0.9992
  5.0, 0.0, 0.744, 0.256, 0.8748
  4.0, 0.038, 0.805, 0.157, 0.9222
  5.0, 0.091, 0.646, 0.263, 0.783
  5.0, 0.103, 0.559, 0.338, 0.8402
  5.0, 0.072, 0.7, 0.228, 0.765
  5.0, 0.0, 0.851, 0.149, 0.2472
  5.0, 0.0, 0.676, 0.324, 0.8442
  5.0, 0.0, 1.0, 0.0, 0.0
  3.0, 0.051, 0.818, 0.131, 0.8679
  5.0, 0.089, 0.81, 0.101, 0.1986
  5.0, 0.0, 0.692, 0.308, 0.9841
  5.0, 0.0, 0.587, 0.413, 0.9334
  4.0, 0.0, 0.755, 0.245, 0.9658
  5.0, 0.094, 0.713, 0.193, 0.7425
  5.0, 0.09, 0.755, 0.154, 0.8492
  4.0, 0.032, 0.797, 0.171, 0.9559
  5.0, 0.07, 0.843, 0.088, 0.5719
  4.0, 0.036, 0.647, 0.317, 0.9422
  3.0, 0.0, 0.734, 0.266, 0.9431
  5.0, 0.103, 0.701, 0.196, 0.8062
  5.0, 0.235, 0.765, 0.0, -0.75
  4.0, 0.1, 0.769, 0.131, 0.1779
  5.0, 0.063, 0.779, 0.159, 0.9762
  5.0, 0.07, 0.81, 0.12, 0.9497
  5.0, 0.046, 0.775, 0.179, 0.6846
  5.0, 0.052, 0.727, 0.221, 0.9235
  5.0, 0.0, 0.533, 0.467, 0.9423
  5.0, 0.059, 0.778, 0.163, 0.9801
  3.0, 0.046, 0.684, 0.27, 0.9337
  1.0, 0.048, 0.828, 0.124, 0.9602
  4.0, 0.056, 0.635, 0.309, 0.9858
  5.0, 0.029, 0.643, 0.328, 0.9245
  5.0, 0.059, 0.837, 0.104, 0.9828
  4.0, 0.0, 0.9, 0.1, 0.9682
  4.0, 0.0, 0.721, 0.279, 0.9001
  5.0, 0.101, 0.764, 0.135, 0.4186
  5.0, 0.0, 0.783, 0.217, 0.9617
  5.0, 0.056, 0.707, 0.237, 0.9832
  5.0, 0.0, 0.623, 0.377, 0.8654
  5.0, 0.068, 0.846, 0.086, 0.1994
  4.0, 0.066, 0.743, 0.19, 0.9671
  5.0, 0.021, 0.793, 0.187, 0.9147
  3.0, 0.048, 0.878, 0.074, 0.0516
  5.0, 0.0, 0.723, 0.277, 0.9814
  5.0, 0.076, 0.816, 0.108, 0.3182
  5.0, 0.142, 0.618, 0.239, 0.5574
  5.0, 0.0, 0.789, 0.211, 0.5511
  3.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.169, 0.622, 0.21, 0.34
  4.0, 0.111, 0.719, 0.17, 0.9157
  5.0, 0.0, 0.796, 0.204, 0.875
  5.0, 0.0, 0.756, 0.244, 0.4404
  5.0, 0.0, 0.708, 0.292, 0.8658
  5.0, 0.0, 0.522, 0.478, 0.9746
  3.0, 0.0, 0.727, 0.273, 0.8176
  3.0, 0.03, 0.849, 0.121, 0.7982
  1.0, 0.132, 0.814, 0.054, -0.7116
  5.0, 0.0, 0.534, 0.466, 0.9547
  5.0, 0.013, 0.834, 0.153, 0.9316
  5.0, 0.028, 0.763, 0.209, 0.9698
  3.0, 0.037, 0.819, 0.144, 0.8145
  5.0, 0.048, 0.743, 0.209, 0.8074
  3.0, 0.0, 0.799, 0.201, 0.5854
  5.0, 0.039, 0.736, 0.226, 0.9571
  5.0, 0.0, 0.694, 0.306, 0.9666
  2.0, 0.076, 0.753, 0.171, 0.8531
  5.0, 0.0, 0.73, 0.27, 0.8503
  5.0, 0.0, 0.803, 0.197, 0.8442
  5.0, 0.0, 0.641, 0.359, 0.9669
  5.0, 0.094, 0.767, 0.139, 0.7826
  3.0, 0.087, 0.775, 0.139, 0.9071
  2.0, 0.124, 0.762, 0.114, -0.7973
  5.0, 0.0, 0.65, 0.35, 0.9857
  4.0, 0.031, 0.703, 0.267, 0.9955
  5.0, 0.017, 0.839, 0.145, 0.9371
  4.0, 0.0, 0.637, 0.363, 0.9657
  5.0, 0.062, 0.656, 0.282, 0.9896
  5.0, 0.012, 0.709, 0.279, 0.9792
  4.0, 0.051, 0.795, 0.154, 0.5293
  4.0, 0.107, 0.689, 0.204, 0.9757
  4.0, 0.015, 0.733, 0.252, 0.9922
  4.0, 0.113, 0.784, 0.102, -0.5925
  3.0, 0.033, 0.626, 0.34, 0.9403
  5.0, 0.096, 0.85, 0.054, -0.9934
  5.0, 0.067, 0.597, 0.336, 0.9308
  5.0, 0.135, 0.587, 0.278, 0.9358
  2.0, 0.314, 0.572, 0.114, -0.8962
  5.0, 0.0, 0.662, 0.338, 0.9056
  4.0, 0.0, 0.756, 0.244, 0.7003
  4.0, 0.0, 0.755, 0.245, 0.7311
  5.0, 0.043, 0.916, 0.04, -0.2211
  3.0, 0.099, 0.721, 0.18, 0.9755
  3.0, 0.109, 0.811, 0.08, -0.3311
  5.0, 0.0, 0.562, 0.438, 0.9804
  5.0, 0.0, 0.485, 0.515, 0.9729
  5.0, 0.06, 0.742, 0.198, 0.9993
  5.0, 0.086, 0.69, 0.224, 0.9759
  3.0, 0.0, 0.63, 0.37, 0.91
  5.0, 0.038, 0.805, 0.157, 0.9901
  1.0, 0.036, 0.807, 0.157, 0.8553
  5.0, 0.0, 0.683, 0.317, 0.9493
  3.0, 0.232, 0.641, 0.128, -0.3117
  5.0, 0.0, 0.821, 0.179, 0.802
  5.0, 0.113, 0.819, 0.068, -0.3641
  1.0, 0.266, 0.625, 0.109, -0.8306
  5.0, 0.061, 0.69, 0.249, 0.8607
  2.0, 0.107, 0.789, 0.104, -0.0258
  5.0, 0.049, 0.73, 0.221, 0.9911
  5.0, 0.128, 0.732, 0.139, 0.1169
  4.0, 0.0, 0.5, 0.5, 0.9432
  5.0, 0.0, 0.688, 0.312, 0.9413
  4.0, 0.0, 0.793, 0.207, 0.9001
  5.0, 0.0, 0.59, 0.41, 0.8957
  5.0, 0.012, 0.861, 0.127, 0.9375
  5.0, 0.07, 0.777, 0.153, 0.6691
  4.0, 0.051, 0.816, 0.133, 0.989
  5.0, 0.071, 0.866, 0.063, 0.0258
  2.0, 0.228, 0.63, 0.142, -0.9859
  4.0, 0.207, 0.632, 0.161, -0.4001
  3.0, 0.115, 0.695, 0.19, 0.7687
  5.0, 0.133, 0.733, 0.134, 0.693
  1.0, 0.096, 0.856, 0.047, -0.8289
  5.0, 0.13, 0.745, 0.125, -0.9432
  5.0, 0.063, 0.77, 0.166, 0.9851
  5.0, 0.053, 0.778, 0.17, 0.9986
  3.0, 0.248, 0.548, 0.205, -0.2922
  5.0, 0.049, 0.783, 0.167, 0.9326
  1.0, 0.27, 0.541, 0.188, -0.3956
  1.0, 0.0, 0.575, 0.425, 0.8965
  3.0, 0.104, 0.774, 0.121, 0.4219
  2.0, 0.275, 0.643, 0.082, -0.9201
  4.0, 0.041, 0.836, 0.123, 0.9374
  4.0, 0.0, 0.749, 0.251, 0.9523
  5.0, 0.106, 0.752, 0.141, 0.2003
  3.0, 0.063, 0.812, 0.125, 0.9869
  5.0, 0.0, 0.638, 0.362, 0.8957
  5.0, 0.0, 0.661, 0.339, 0.7717
  5.0, 0.05, 0.763, 0.187, 0.9772
  5.0, 0.11, 0.692, 0.198, 0.6808
  4.0, 0.078, 0.827, 0.095, 0.1354
  1.0, 0.437, 0.469, 0.094, -0.8591
  5.0, 0.087, 0.755, 0.158, 0.3794
  4.0, 0.077, 0.833, 0.089, -0.0507
  2.0, 0.137, 0.826, 0.036, -0.8025
  4.0, 0.044, 0.685, 0.27, 0.8807
  2.0, 0.111, 0.778, 0.111, 0.0065
  5.0, 0.149, 0.69, 0.161, -0.1779
  5.0, 0.07, 0.63, 0.299, 0.8278
  4.0, 0.125, 0.778, 0.097, -0.7177
  5.0, 0.319, 0.561, 0.12, -0.8824
  4.0, 0.167, 0.698, 0.134, -0.2942
  4.0, 0.102, 0.742, 0.156, 0.9799
  5.0, 0.029, 0.875, 0.096, 0.9908
  5.0, 0.0, 0.499, 0.501, 0.9524
  5.0, 0.088, 0.725, 0.187, 0.9081
  5.0, 0.0, 0.777, 0.223, 0.8008
  2.0, 0.042, 0.9, 0.058, 0.6531
  4.0, 0.104, 0.684, 0.212, 0.8622
  5.0, 0.086, 0.551, 0.363, 0.8765
  4.0, 0.136, 0.464, 0.401, 0.7906
  5.0, 0.055, 0.681, 0.263, 0.6786
  4.0, 0.024, 0.865, 0.111, 0.6808
  2.0, 0.0, 0.904, 0.096, 0.7845
  5.0, 0.018, 0.914, 0.067, 0.8
  5.0, 0.016, 0.877, 0.107, 0.9092
  2.0, 0.078, 0.881, 0.04, -0.6599
  5.0, 0.154, 0.846, 0.0, -0.4767
  4.0, 0.0, 0.85, 0.15, 0.5267
  3.0, 0.075, 0.892, 0.033, -0.2556
  5.0, 0.063, 0.809, 0.127, 0.714
  4.0, 0.026, 0.933, 0.041, 0.1779
  5.0, 0.0, 0.802, 0.198, 0.6369
  4.0, 0.0, 0.808, 0.192, 0.6124
  5.0, 0.078, 0.799, 0.123, 0.9976
  5.0, 0.0, 0.718, 0.282, 0.7817
  4.0, 0.07, 0.735, 0.195, 0.8248
  5.0, 0.0, 0.896, 0.104, 0.6908
  2.0, 0.0, 0.723, 0.277, 0.7845
  5.0, 0.0, 0.803, 0.197, 0.5994
  5.0, 0.183, 0.817, 0.0, -0.9515
  5.0, 0.0, 0.773, 0.227, 0.8439
  5.0, 0.132, 0.714, 0.154, 0.1531
  5.0, 0.0, 0.809, 0.191, 0.8898
  4.0, 0.0, 0.737, 0.263, 0.7579
  5.0, 0.0, 0.844, 0.156, 0.7925
  5.0, 0.0, 0.841, 0.159, 0.6486
  5.0, 0.04, 0.636, 0.324, 0.9661
  5.0, 0.069, 0.784, 0.147, 0.9895
  5.0, 0.057, 0.709, 0.234, 0.9567
  4.0, 0.118, 0.54, 0.342, 0.7947
  5.0, 0.03, 0.636, 0.334, 0.9701
  5.0, 0.0, 0.565, 0.435, 0.981
  5.0, 0.0, 0.819, 0.181, 0.6369
  4.0, 0.118, 0.539, 0.343, 0.829
  4.0, 0.317, 0.567, 0.116, -0.9325
  5.0, 0.051, 0.628, 0.321, 0.9926
  5.0, 0.0, 0.915, 0.085, 0.3612
  2.0, 0.16, 0.67, 0.17, 0.091
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.819, 0.181, 0.9201
  5.0, 0.08, 0.643, 0.278, 0.9797
  4.0, 0.0, 0.63, 0.37, 0.8555
  5.0, 0.042, 0.563, 0.394, 0.9408
  3.0, 0.0, 0.882, 0.118, 0.25
  2.0, 0.124, 0.781, 0.095, -0.3612
  5.0, 0.074, 0.727, 0.199, 0.8658
  5.0, 0.072, 0.542, 0.386, 0.8658
  5.0, 0.096, 0.743, 0.161, 0.2732
  5.0, 0.0, 0.657, 0.343, 0.872
  5.0, 0.0, 0.806, 0.194, 0.6249
  4.0, 0.059, 0.716, 0.225, 0.7964
  4.0, 0.0, 0.949, 0.051, 0.0772
  5.0, 0.0, 0.762, 0.238, 0.7783
  4.0, 0.105, 0.797, 0.098, -0.0516
  5.0, 0.057, 0.896, 0.047, -0.25
  5.0, 0.0, 0.801, 0.199, 0.7717
  4.0, 0.0, 0.661, 0.339, 0.9366
  5.0, 0.152, 0.807, 0.041, -0.723
  3.0, 0.0, 0.471, 0.529, 0.9274
  3.0, 0.144, 0.768, 0.088, -0.9034
  4.0, 0.124, 0.668, 0.209, 0.6643
  5.0, 0.0, 0.612, 0.388, 0.8357
  5.0, 0.071, 0.714, 0.215, 0.9087
  3.0, 0.0, 0.857, 0.143, 0.4588
  3.0, 0.098, 0.599, 0.303, 0.8052
  5.0, 0.062, 0.739, 0.2, 0.7845
  5.0, 0.173, 0.698, 0.129, -0.34
  5.0, 0.0, 0.919, 0.081, 0.2144
  5.0, 0.052, 0.858, 0.09, 0.9434
  5.0, 0.143, 0.764, 0.093, -0.1306
  5.0, 0.039, 0.885, 0.076, 0.4515
  3.0, 0.114, 0.835, 0.051, -0.7799
  5.0, 0.0, 0.651, 0.349, 0.8934
  5.0, 0.025, 0.794, 0.181, 0.9383
  3.0, 0.076, 0.777, 0.146, 0.9987
  5.0, 0.0, 0.645, 0.355, 0.8997
  5.0, 0.0, 0.573, 0.427, 0.9246
  4.0, 0.0, 0.826, 0.174, 0.4588
  3.0, 0.075, 0.803, 0.122, 0.2263
  4.0, 0.0, 0.777, 0.223, 0.7836
  4.0, 0.048, 0.853, 0.1, 0.9724
  5.0, 0.0, 0.863, 0.137, 0.9578
  5.0, 0.062, 0.721, 0.218, 0.8357
  4.0, 0.0, 0.717, 0.283, 0.8519
  4.0, 0.061, 0.83, 0.109, 0.9309
  4.0, 0.042, 0.788, 0.171, 0.7096
  5.0, 0.156, 0.737, 0.106, -0.6136
  1.0, 0.13, 0.796, 0.074, -0.3595
  5.0, 0.0, 0.661, 0.339, 0.9153
  5.0, 0.054, 0.791, 0.155, 0.7839
  4.0, 0.043, 0.747, 0.21, 0.7506
  3.0, 0.0, 0.937, 0.063, 0.4404
  4.0, 0.034, 0.831, 0.135, 0.7898
  5.0, 0.068, 0.806, 0.126, 0.4195
  4.0, 0.0, 0.793, 0.207, 0.8074
  5.0, 0.028, 0.797, 0.176, 0.9913
  3.0, 0.218, 0.668, 0.114, -0.9455
  4.0, 0.082, 0.823, 0.095, 0.2783
  5.0, 0.0, 0.752, 0.248, 0.8198
  1.0, 0.0, 0.723, 0.277, 0.8902
  5.0, 0.036, 0.754, 0.209, 0.987
  4.0, 0.0, 0.88, 0.12, 0.4588
  5.0, 0.031, 0.642, 0.326, 0.9735
  5.0, 0.0, 0.811, 0.189, 0.6369
  5.0, 0.125, 0.675, 0.2, 0.7999
  5.0, 0.0, 0.67, 0.33, 0.93
  5.0, 0.07, 0.774, 0.155, 0.9813
  5.0, 0.062, 0.819, 0.119, 0.4588
  4.0, 0.108, 0.716, 0.176, 0.9342
  4.0, 0.0, 0.814, 0.186, 0.6705
  2.0, 0.103, 0.7, 0.196, 0.9319
  5.0, 0.0, 0.706, 0.294, 0.9365
  5.0, 0.073, 0.711, 0.217, 0.9953
  5.0, 0.252, 0.579, 0.168, -0.4404
  5.0, 0.022, 0.683, 0.295, 0.9911
  4.0, 0.02, 0.772, 0.207, 0.9983
  5.0, 0.0, 0.678, 0.322, 0.9555
  4.0, 0.078, 0.865, 0.057, -0.2023
  5.0, 0.0, 0.789, 0.211, 0.9524
  4.0, 0.071, 0.738, 0.191, 0.9907
  5.0, 0.0, 0.659, 0.341, 0.9478
  4.0, 0.0, 0.892, 0.108, 0.9589
  5.0, 0.136, 0.714, 0.15, 0.1027
  5.0, 0.0, 0.58, 0.42, 0.9328
  4.0, 0.031, 0.807, 0.162, 0.7918
  4.0, 0.022, 0.8, 0.178, 0.9962
  5.0, 0.042, 0.775, 0.183, 0.9855
  4.0, 0.0, 0.563, 0.437, 0.9081
  4.0, 0.0, 0.74, 0.26, 0.8316
  5.0, 0.117, 0.744, 0.139, 0.1779
  5.0, 0.008, 0.811, 0.18, 0.9892
  1.0, 0.052, 0.909, 0.038, -0.3757
  5.0, 0.077, 0.793, 0.13, 0.2732
  3.0, 0.056, 0.864, 0.08, 0.3158
  5.0, 0.0, 0.77, 0.23, 0.775
  5.0, 0.0, 0.848, 0.152, 0.3252
  5.0, 0.03, 0.889, 0.081, 0.3612
  5.0, 0.195, 0.708, 0.097, -0.8912
  5.0, 0.103, 0.897, 0.0, -0.4767
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.097, 0.52, 0.384, 0.9031
  4.0, 0.105, 0.695, 0.2, 0.6119
  5.0, 0.064, 0.743, 0.192, 0.9376
  5.0, 0.0, 0.689, 0.311, 0.9558
  5.0, 0.04, 0.784, 0.176, 0.7958
  5.0, 0.0, 0.798, 0.202, 0.8334
  4.0, 0.064, 0.861, 0.075, 0.1264
  5.0, 0.096, 0.825, 0.079, -0.6597
  5.0, 0.0, 0.851, 0.149, 0.9387
  5.0, 0.0, 0.702, 0.298, 0.7783
  4.0, 0.175, 0.772, 0.053, -0.9743
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.074, 0.874, 0.053, -0.7227
  5.0, 0.072, 0.765, 0.164, 0.6607
  5.0, 0.149, 0.714, 0.137, -0.4601
  5.0, 0.12, 0.66, 0.22, 0.8153
  5.0, 0.0, 0.528, 0.472, 0.9517
  4.0, 0.0, 0.831, 0.169, 0.7717
  5.0, 0.118, 0.602, 0.281, 0.6901
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.651, 0.349, 0.8802
  4.0, 0.207, 0.721, 0.072, -0.6619
  5.0, 0.058, 0.796, 0.146, 0.9647
  5.0, 0.113, 0.685, 0.202, 0.8669
  5.0, 0.0, 0.75, 0.25, 0.7171
  5.0, 0.237, 0.763, 0.0, -0.4767
  1.0, 0.095, 0.784, 0.121, 0.34
